NAME,YEAR,YEAR_TOTAL,MONTH,MONTH_NUMBER,VISITORS,Problem_With_Counter
Brighton Park,2019,55686,APR,4,5680,False
Brighton Park,2019,55686,MAY,5,4161,False
Brighton Park,2019,55686,JUN,6,4514,False
Brighton Park,2019,55686,JUL,7,5194,False
Brighton Park,2019,55686,AUG,8,5142,False
Brighton Park,2019,55686,SEP,9,4223,False
Brighton Park,2019,55686,OCT,10,5799,False
Brighton Park,2019,55686,NOV,11,4107,False
Brighton Park,2019,55686,DEC,12,3349,False
Bucktown-Wicker Park,2019,128142,JAN,1,10961,False
Bucktown-Wicker Park,2019,128142,FEB,2,10580,False
Bucktown-Wicker Park,2019,128142,MAR,3,13487,False
Bucktown-Wicker Park,2019,128142,APR,4,10603,False
Bucktown-Wicker Park,2019,128142,MAY,5,8590,False
Bucktown-Wicker Park,2019,128142,JUN,6,10533,False
Bucktown-Wicker Park,2019,128142,JUL,7,11950,False
Bucktown-Wicker Park,2019,128142,AUG,8,11519,False
Bucktown-Wicker Park,2019,128142,SEP,9,9416,False
Bucktown-Wicker Park,2019,128142,OCT,10,10659,False
Bucktown-Wicker Park,2019,128142,NOV,11,10384,False
Bucktown-Wicker Park,2019,128142,DEC,12,9460,False
Budlong Woods,2019,125049,JAN,1,9917,False
Budlong Woods,2019,125049,FEB,2,11174,False
Budlong Woods,2019,125049,MAR,3,11358,False
Budlong Woods,2019,125049,APR,4,10868,False
Budlong Woods,2019,125049,MAY,5,9672,False
Budlong Woods,2019,125049,JUN,6,10735,False
Budlong Woods,2019,125049,JUL,7,11979,False
Budlong Woods,2019,125049,AUG,8,11038,False
Budlong Woods,2019,125049,SEP,9,9372,False
Budlong Woods,2019,125049,OCT,10,10725,False
Budlong Woods,2019,125049,NOV,11,9318,False
Budlong Woods,2019,125049,DEC,12,8893,False
Canaryville,2019,38923,JAN,1,2614,False
Canaryville,2019,38923,FEB,2,2956,False
Canaryville,2019,38923,MAR,3,3515,False
Canaryville,2019,38923,APR,4,3195,False
Canaryville,2019,38923,MAY,5,3186,False
Canaryville,2019,38923,JUN,6,3617,False
Canaryville,2019,38923,JUL,7,3931,False
Canaryville,2019,38923,AUG,8,3467,False
Canaryville,2019,38923,SEP,9,3130,False
Canaryville,2019,38923,OCT,10,3435,False
Canaryville,2019,38923,NOV,11,3129,False
Canaryville,2019,38923,DEC,12,2748,False
Chicago Bee,2019,23708,JAN,1,1585,False
Chicago Bee,2019,23708,FEB,2,1742,False
Chicago Bee,2019,23708,MAR,3,1957,False
Chicago Bee,2019,23708,APR,4,2287,False
Chicago Bee,2019,23708,MAY,5,2114,False
Chicago Bee,2019,23708,JUN,6,2335,False
Chicago Bee,2019,23708,JUL,7,2184,False
Chicago Bee,2019,23708,AUG,8,1920,False
Chicago Bee,2019,23708,SEP,9,1720,False
Chicago Bee,2019,23708,OCT,10,2296,False
Chicago Bee,2019,23708,NOV,11,1925,False
Chicago Bee,2019,23708,DEC,12,1643,False
Chicago Lawn,2019,54371,JAN,1,5247,False
Chicago Lawn,2019,54371,FEB,2,6273,False
Chicago Lawn,2019,54371,MAR,3,5315,False
Chicago Lawn,2019,54371,APR,4,5792,False
Chicago Lawn,2019,54371,MAY,5,5304,False
Chicago Lawn,2019,54371,JUN,6,6077,False
Chicago Lawn,2019,54371,JUL,7,7165,False
Chicago Lawn,2019,54371,AUG,8,8598,False
Chicago Lawn,2019,54371,SEP,9,4600,False
Chicago Lawn,2019,54371,OCT,10,0,False
Chicago Lawn,2019,54371,NOV,11,0,False
Chicago Lawn,2019,54371,DEC,12,0,False
Chinatown,2019,271514,JAN,1,16716,False
Chinatown,2019,271514,FEB,2,21237,False
Chinatown,2019,271514,MAR,3,24670,False
Chinatown,2019,271514,APR,4,22875,False
Chinatown,2019,271514,MAY,5,23898,False
Chinatown,2019,271514,JUN,6,22703,False
Chinatown,2019,271514,JUL,7,24518,False
Chinatown,2019,271514,AUG,8,26210,False
Chinatown,2019,271514,SEP,9,22446,False
Chinatown,2019,271514,OCT,10,24910,False
Chinatown,2019,271514,NOV,11,21183,False
Chinatown,2019,271514,DEC,12,20148,False
Clearing,2019,51668,JAN,1,4283,False
Clearing,2019,51668,FEB,2,5259,False
Clearing,2019,51668,MAR,3,5385,False
Clearing,2019,51668,APR,4,5196,False
Clearing,2019,51668,MAY,5,4787,False
Clearing,2019,51668,JUN,6,4777,False
Clearing,2019,51668,JUL,7,6062,False
Clearing,2019,51668,AUG,8,5700,False
Clearing,2019,51668,SEP,9,4742,False
Clearing,2019,51668,OCT,10,185,False
Clearing,2019,51668,NOV,11,1552,False
Clearing,2019,51668,DEC,12,3740,False
Coleman,2019,74397,JAN,1,6123,False
Coleman,2019,74397,FEB,2,6834,False
Coleman,2019,74397,MAR,3,6745,False
Coleman,2019,74397,APR,4,7398,False
Coleman,2019,74397,MAY,5,6891,False
Coleman,2019,74397,JUN,6,6603,False
Coleman,2019,74397,JUL,7,8386,False
Coleman,2019,74397,AUG,8,7985,False
Coleman,2019,74397,SEP,9,0,False
Coleman,2019,74397,OCT,10,4517,False
Coleman,2019,74397,NOV,11,6031,False
Coleman,2019,74397,DEC,12,6884,False
"Daley, Richard J.",2019,60663,JAN,1,4550,False
"Daley, Richard J.",2019,60663,FEB,2,4650,False
"Daley, Richard J.",2019,60663,MAR,3,5042,False
"Daley, Richard J.",2019,60663,APR,4,5536,False
"Daley, Richard J.",2019,60663,MAY,5,5059,False
"Daley, Richard J.",2019,60663,JUN,6,4988,False
"Daley, Richard J.",2019,60663,JUL,7,5952,False
"Daley, Richard J.",2019,60663,AUG,8,5590,False
"Daley, Richard J.",2019,60663,SEP,9,4853,False
"Daley, Richard J.",2019,60663,OCT,10,5618,False
"Daley, Richard J.",2019,60663,NOV,11,4720,False
"Daley, Richard J.",2019,60663,DEC,12,4105,False
"Daley, Richard M.",2019,116161,JAN,1,9216,False
"Daley, Richard M.",2019,116161,FEB,2,10480,False
"Daley, Richard M.",2019,116161,MAR,3,10319,False
"Daley, Richard M.",2019,116161,APR,4,9572,False
"Daley, Richard M.",2019,116161,MAY,5,8927,False
"Daley, Richard M.",2019,116161,JUN,6,8959,False
"Daley, Richard M.",2019,116161,JUL,7,9283,False
"Daley, Richard M.",2019,116161,AUG,8,11059,False
"Daley, Richard M.",2019,116161,SEP,9,8526,False
"Daley, Richard M.",2019,116161,OCT,10,9535,False
"Daley, Richard M.",2019,116161,NOV,11,8850,False
"Daley, Richard M.",2019,116161,DEC,12,11435,False
Douglass,2019,0,JAN,1,0,False
Douglass,2019,0,FEB,2,0,False
Douglass,2019,0,MAR,3,0,False
Douglass,2019,0,APR,4,0,False
Douglass,2019,0,MAY,5,0,False
Douglass,2019,0,JUN,6,0,False
Douglass,2019,0,JUL,7,0,False
Douglass,2019,0,AUG,8,0,False
Douglass,2019,0,SEP,9,0,False
Douglass,2019,0,OCT,10,0,False
Douglass,2019,0,NOV,11,0,False
Douglass,2019,0,DEC,12,0,False
Dunning,2019,104259,JAN,1,7777,False
Dunning,2019,104259,FEB,2,8684,False
Dunning,2019,104259,MAR,3,8650,False
Dunning,2019,104259,APR,4,8425,False
Dunning,2019,104259,MAY,5,9254,False
Dunning,2019,104259,JUN,6,9519,False
Dunning,2019,104259,JUL,7,10353,False
Dunning,2019,104259,AUG,8,9049,False
Dunning,2019,104259,SEP,9,10065,False
Dunning,2019,104259,OCT,10,8865,False
Dunning,2019,104259,NOV,11,6802,False
Dunning,2019,104259,DEC,12,6816,False
Edgebrook,2019,97005,JAN,1,7241,False
Edgebrook,2019,97005,FEB,2,8130,False
Edgebrook,2019,97005,MAR,3,8517,False
Edgebrook,2019,97005,APR,4,8361,False
Edgebrook,2019,97005,MAY,5,7260,False
Edgebrook,2019,97005,JUN,6,8955,False
Edgebrook,2019,97005,JUL,7,9688,False
Edgebrook,2019,97005,AUG,8,9171,False
Edgebrook,2019,97005,SEP,9,7282,False
Edgebrook,2019,97005,OCT,10,8610,False
Edgebrook,2019,97005,NOV,11,7074,False
Edgebrook,2019,97005,DEC,12,6716,False
Edgewater,2019,197045,JAN,1,11504,False
Edgewater,2019,197045,FEB,2,17381,False
Edgewater,2019,197045,MAR,3,19171,False
Edgewater,2019,197045,APR,4,20253,False
Edgewater,2019,197045,MAY,5,15847,False
Edgewater,2019,197045,JUN,6,16459,False
Edgewater,2019,197045,JUL,7,18370,False
Edgewater,2019,197045,AUG,8,17216,False
Edgewater,2019,197045,SEP,9,15906,False
Edgewater,2019,197045,OCT,10,17014,False
Edgewater,2019,197045,NOV,11,14596,False
Edgewater,2019,197045,DEC,12,13328,False
Gage Park,2019,29706,JAN,1,2111,False
Gage Park,2019,29706,FEB,2,1979,False
Gage Park,2019,29706,MAR,3,2000,False
Gage Park,2019,29706,APR,4,2177,False
Gage Park,2019,29706,MAY,5,2185,False
Gage Park,2019,29706,JUN,6,2569,False
Gage Park,2019,29706,JUL,7,3111,False
Gage Park,2019,29706,AUG,8,2967,False
Gage Park,2019,29706,SEP,9,2435,False
Gage Park,2019,29706,OCT,10,3834,False
Gage Park,2019,29706,NOV,11,2256,False
Gage Park,2019,29706,DEC,12,2082,False
Galewood-Mont Clare,2019,20463,JAN,1,1597,False
Galewood-Mont Clare,2019,20463,FEB,2,1444,False
Galewood-Mont Clare,2019,20463,MAR,3,1725,False
Galewood-Mont Clare,2019,20463,APR,4,2061,False
Galewood-Mont Clare,2019,20463,MAY,5,1722,False
Galewood-Mont Clare,2019,20463,JUN,6,1923,False
Galewood-Mont Clare,2019,20463,JUL,7,3067,False
Galewood-Mont Clare,2019,20463,AUG,8,1882,False
Galewood-Mont Clare,2019,20463,SEP,9,1510,False
Galewood-Mont Clare,2019,20463,OCT,10,1596,False
Galewood-Mont Clare,2019,20463,NOV,11,1129,False
Galewood-Mont Clare,2019,20463,DEC,12,807,False
Garfield Ridge,2019,70128,JAN,1,4500,False
Garfield Ridge,2019,70128,FEB,2,4904,False
Garfield Ridge,2019,70128,MAR,3,5803,False
Garfield Ridge,2019,70128,APR,4,5559,False
Garfield Ridge,2019,70128,MAY,5,5099,False
Garfield Ridge,2019,70128,JUN,6,5850,False
Garfield Ridge,2019,70128,JUL,7,7855,False
Garfield Ridge,2019,70128,AUG,8,6865,False
Garfield Ridge,2019,70128,SEP,9,5307,False
Garfield Ridge,2019,70128,OCT,10,7239,False
Garfield Ridge,2019,70128,NOV,11,6105,False
Garfield Ridge,2019,70128,DEC,12,5042,False
Greater Grand Crossing,2019,69998,JAN,1,4541,False
Greater Grand Crossing,2019,69998,FEB,2,6664,False
Greater Grand Crossing,2019,69998,MAR,3,7689,False
Greater Grand Crossing,2019,69998,APR,4,7662,False
Greater Grand Crossing,2019,69998,MAY,5,7828,False
Greater Grand Crossing,2019,69998,JUN,6,6828,False
Greater Grand Crossing,2019,69998,JUL,7,4125,False
Greater Grand Crossing,2019,69998,AUG,8,3715,False
Greater Grand Crossing,2019,69998,SEP,9,6132,False
Greater Grand Crossing,2019,69998,OCT,10,4111,False
Greater Grand Crossing,2019,69998,NOV,11,4940,False
Greater Grand Crossing,2019,69998,DEC,12,5763,False
Hall,2019,67884,JAN,1,5040,False
Hall,2019,67884,FEB,2,7987,False
Hall,2019,67884,MAR,3,7226,False
Hall,2019,67884,APR,4,5947,False
Hall,2019,67884,MAY,5,4439,False
Hall,2019,67884,JUN,6,5110,False
Hall,2019,67884,JUL,7,6350,False
Hall,2019,67884,AUG,8,5452,False
Hall,2019,67884,SEP,9,5026,False
Hall,2019,67884,OCT,10,5833,False
Hall,2019,67884,NOV,11,4891,False
Hall,2019,67884,DEC,12,4583,False
Harold Washtington Library Center,2019,1405964,JAN,1,103099,False
Harold Washtington Library Center,2019,1405964,FEB,2,103013,False
Harold Washtington Library Center,2019,1405964,MAR,3,121131,False
Harold Washtington Library Center,2019,1405964,APR,4,130849,False
Harold Washtington Library Center,2019,1405964,MAY,5,114792,False
Harold Washtington Library Center,2019,1405964,JUN,6,116673,False
Harold Washtington Library Center,2019,1405964,JUL,7,119738,False
Harold Washtington Library Center,2019,1405964,AUG,8,116332,False
Harold Washtington Library Center,2019,1405964,SEP,9,107200,False
Harold Washtington Library Center,2019,1405964,OCT,10,128546,False
Harold Washtington Library Center,2019,1405964,NOV,11,102895,False
Harold Washtington Library Center,2019,1405964,DEC,12,141696,False
Hegewisch,2019,38747,JAN,1,3316,False
Hegewisch,2019,38747,FEB,2,3462,False
Hegewisch,2019,38747,MAR,3,3985,False
Hegewisch,2019,38747,APR,4,3766,False
Hegewisch,2019,38747,MAY,5,3153,False
Hegewisch,2019,38747,JUN,6,2999,False
Hegewisch,2019,38747,JUL,7,3147,False
Hegewisch,2019,38747,AUG,8,2971,False
Hegewisch,2019,38747,SEP,9,2941,False
Hegewisch,2019,38747,OCT,10,3366,False
Hegewisch,2019,38747,NOV,11,2956,False
Hegewisch,2019,38747,DEC,12,2685,False
Humboldt Park,2019,78546,JAN,1,5224,False
Humboldt Park,2019,78546,FEB,2,9661,False
Humboldt Park,2019,78546,MAR,3,7993,False
Humboldt Park,2019,78546,APR,4,7773,False
Humboldt Park,2019,78546,MAY,5,6737,False
Humboldt Park,2019,78546,JUN,6,6220,False
Humboldt Park,2019,78546,JUL,7,6957,False
Humboldt Park,2019,78546,AUG,8,6630,False
Humboldt Park,2019,78546,SEP,9,5617,False
Humboldt Park,2019,78546,OCT,10,6141,False
Humboldt Park,2019,78546,NOV,11,5104,False
Humboldt Park,2019,78546,DEC,12,4489,False
Independence,2019,75052,JAN,1,1370,False
Independence,2019,75052,FEB,2,6593,False
Independence,2019,75052,MAR,3,7220,False
Independence,2019,75052,APR,4,6917,False
Independence,2019,75052,MAY,5,5745,False
Independence,2019,75052,JUN,6,7940,False
Independence,2019,75052,JUL,7,7363,False
Independence,2019,75052,AUG,8,7810,False
Independence,2019,75052,SEP,9,6034,False
Independence,2019,75052,OCT,10,6929,False
Independence,2019,75052,NOV,11,6349,False
Independence,2019,75052,DEC,12,4782,False
Jefferson Park,2019,6108,JAN,1,3918,False
Jefferson Park,2019,6108,FEB,2,0,False
Jefferson Park,2019,6108,MAR,3,0,False
Jefferson Park,2019,6108,APR,4,0,False
Jefferson Park,2019,6108,MAY,5,0,False
Jefferson Park,2019,6108,JUN,6,0,False
Jefferson Park,2019,6108,JUL,7,0,False
Jefferson Park,2019,6108,AUG,8,0,False
Jefferson Park,2019,6108,SEP,9,0,False
Jefferson Park,2019,6108,OCT,10,0,False
Jefferson Park,2019,6108,NOV,11,0,False
Jefferson Park,2019,6108,DEC,12,2190,False
Jeffery Manor,2019,57482,JAN,1,4733,False
Jeffery Manor,2019,57482,FEB,2,6392,False
Jeffery Manor,2019,57482,MAR,3,5537,False
Jeffery Manor,2019,57482,APR,4,5750,False
Jeffery Manor,2019,57482,MAY,5,5473,False
Jeffery Manor,2019,57482,JUN,6,5423,False
Jeffery Manor,2019,57482,JUL,7,4722,False
Jeffery Manor,2019,57482,AUG,8,4233,False
Jeffery Manor,2019,57482,SEP,9,4210,False
Jeffery Manor,2019,57482,OCT,10,4508,False
Jeffery Manor,2019,57482,NOV,11,3242,False
Jeffery Manor,2019,57482,DEC,12,3259,False
Kelly,2019,65347,JAN,1,4435,False
Kelly,2019,65347,FEB,2,4047,False
Kelly,2019,65347,MAR,3,4547,False
Kelly,2019,65347,APR,4,4983,False
Kelly,2019,65347,MAY,5,5075,False
Kelly,2019,65347,JUN,6,5598,False
Kelly,2019,65347,JUL,7,7550,False
Kelly,2019,65347,AUG,8,6978,False
Kelly,2019,65347,SEP,9,5805,False
Kelly,2019,65347,OCT,10,6778,False
Kelly,2019,65347,NOV,11,4742,False
Kelly,2019,65347,DEC,12,4809,False
King,2019,35190,JAN,1,3695,False
King,2019,35190,FEB,2,4217,False
King,2019,35190,MAR,3,3618,False
King,2019,35190,APR,4,3429,False
King,2019,35190,MAY,5,2261,False
King,2019,35190,JUN,6,2438,False
King,2019,35190,JUL,7,2503,False
King,2019,35190,AUG,8,2578,False
King,2019,35190,SEP,9,2107,False
King,2019,35190,OCT,10,2298,False
King,2019,35190,NOV,11,3362,False
King,2019,35190,DEC,12,2684,False
Legler Regional,2019,72027,JAN,1,6386,False
Legler Regional,2019,72027,FEB,2,6630,False
Legler Regional,2019,72027,MAR,3,7195,False
Legler Regional,2019,72027,APR,4,6949,False
Legler Regional,2019,72027,MAY,5,7489,False
Legler Regional,2019,72027,JUN,6,4550,False
Legler Regional,2019,72027,JUL,7,11452,False
Legler Regional,2019,72027,AUG,8,11899,False
Legler Regional,2019,72027,SEP,9,9477,False
Legler Regional,2019,72027,OCT,10,0,False
Legler Regional,2019,72027,NOV,11,0,False
Legler Regional,2019,72027,DEC,12,0,False
Lincoln Belmont,2019,156188,JAN,1,11415,False
Lincoln Belmont,2019,156188,FEB,2,11059,False
Lincoln Belmont,2019,156188,MAR,3,13860,False
Lincoln Belmont,2019,156188,APR,4,13440,False
Lincoln Belmont,2019,156188,MAY,5,12697,False
Lincoln Belmont,2019,156188,JUN,6,13591,False
Lincoln Belmont,2019,156188,JUL,7,15408,False
Lincoln Belmont,2019,156188,AUG,8,14672,False
Lincoln Belmont,2019,156188,SEP,9,12394,False
Lincoln Belmont,2019,156188,OCT,10,14886,False
Lincoln Belmont,2019,156188,NOV,11,12402,False
Lincoln Belmont,2019,156188,DEC,12,10364,False
Lincoln Park,2019,137424,JAN,1,9854,False
Lincoln Park,2019,137424,FEB,2,13476,False
Lincoln Park,2019,137424,MAR,3,14077,False
Lincoln Park,2019,137424,APR,4,11767,False
Lincoln Park,2019,137424,MAY,5,9822,False
Lincoln Park,2019,137424,JUN,6,10961,False
Lincoln Park,2019,137424,JUL,7,12604,False
Lincoln Park,2019,137424,AUG,8,11804,False
Lincoln Park,2019,137424,SEP,9,10455,False
Lincoln Park,2019,137424,OCT,10,11912,False
Lincoln Park,2019,137424,NOV,11,10723,False
Lincoln Park,2019,137424,DEC,12,9969,False
Little Italy,2019,118051,JAN,1,0,False
Little Italy,2019,118051,FEB,2,4816,False
Little Italy,2019,118051,MAR,3,11303,False
Little Italy,2019,118051,APR,4,11381,False
Little Italy,2019,118051,MAY,5,11304,False
Little Italy,2019,118051,JUN,6,11502,False
Little Italy,2019,118051,JUL,7,12663,False
Little Italy,2019,118051,AUG,8,12261,False
Little Italy,2019,118051,SEP,9,10363,False
Little Italy,2019,118051,OCT,10,12198,False
Little Italy,2019,118051,NOV,11,10555,False
Little Italy,2019,118051,DEC,12,9705,False
Little Village,2019,80689,JAN,1,6716,False
Little Village,2019,80689,FEB,2,7025,False
Little Village,2019,80689,MAR,3,7467,False
Little Village,2019,80689,APR,4,7492,False
Little Village,2019,80689,MAY,5,6809,False
Little Village,2019,80689,JUN,6,5966,False
Little Village,2019,80689,JUL,7,8116,False
Little Village,2019,80689,AUG,8,7093,False
Little Village,2019,80689,SEP,9,5779,False
Little Village,2019,80689,OCT,10,7695,False
Little Village,2019,80689,NOV,11,5774,False
Little Village,2019,80689,DEC,12,4757,False
Logan Square,2019,150530,JAN,1,10787,False
Logan Square,2019,150530,FEB,2,11189,False
Logan Square,2019,150530,MAR,3,12731,False
Logan Square,2019,150530,APR,4,13085,False
Logan Square,2019,150530,MAY,5,12085,False
Logan Square,2019,150530,JUN,6,13409,False
Logan Square,2019,150530,JUL,7,15385,False
Logan Square,2019,150530,AUG,8,14070,False
Logan Square,2019,150530,SEP,9,12177,False
Logan Square,2019,150530,OCT,10,13592,False
Logan Square,2019,150530,NOV,11,11271,False
Logan Square,2019,150530,DEC,12,10749,False
Lozano,2019,123368,JAN,1,10057,False
Lozano,2019,123368,FEB,2,9935,False
Lozano,2019,123368,MAR,3,10745,False
Lozano,2019,123368,APR,4,12061,False
Lozano,2019,123368,MAY,5,9690,False
Lozano,2019,123368,JUN,6,9632,False
Lozano,2019,123368,JUL,7,10214,False
Lozano,2019,123368,AUG,8,10118,False
Lozano,2019,123368,SEP,9,9436,False
Lozano,2019,123368,OCT,10,11858,False
Lozano,2019,123368,NOV,11,10613,False
Lozano,2019,123368,DEC,12,9009,False
Manning,2019,84158,JAN,1,7361,False
Manning,2019,84158,FEB,2,7085,False
Manning,2019,84158,MAR,3,7814,False
Manning,2019,84158,APR,4,7168,False
Manning,2019,84158,MAY,5,6320,False
Manning,2019,84158,JUN,6,6161,False
Manning,2019,84158,JUL,7,6978,False
Manning,2019,84158,AUG,8,6639,False
Manning,2019,84158,SEP,9,5923,False
Manning,2019,84158,OCT,10,8186,False
Manning,2019,84158,NOV,11,7512,False
Manning,2019,84158,DEC,12,7011,False
Mayfair,2019,47147,JAN,1,3625,False
Mayfair,2019,47147,FEB,2,4111,False
Mayfair,2019,47147,MAR,3,4350,False
Mayfair,2019,47147,APR,4,4369,False
Mayfair,2019,47147,MAY,5,3606,False
Mayfair,2019,47147,JUN,6,3835,False
Mayfair,2019,47147,JUL,7,3371,False
Mayfair,2019,47147,AUG,8,4187,False
Mayfair,2019,47147,SEP,9,3903,False
Mayfair,2019,47147,OCT,10,4320,False
Mayfair,2019,47147,NOV,11,3900,False
Mayfair,2019,47147,DEC,12,3570,False
McKinley Park,2019,99246,JAN,1,7154,False
McKinley Park,2019,99246,FEB,2,8242,False
McKinley Park,2019,99246,MAR,3,8220,False
McKinley Park,2019,99246,APR,4,8226,False
McKinley Park,2019,99246,MAY,5,7968,False
McKinley Park,2019,99246,JUN,6,9138,False
McKinley Park,2019,99246,JUL,7,10614,False
