NAME,YEAR,YEAR_TOTAL,Problem_With_Counter,MONTH,MONTH_NUMBER,VISITORS
Austin-Irving  ,2011,145852,False,NOV,11,11868
Austin-Irving  ,2011,145852,False,DEC,12,10628
Avalon,2011,150362,True,JAN,1,16074
Avalon,2011,150362,True,FEB,2,15046
Avalon,2011,150362,True,MAR,3,14825
Avalon,2011,150362,True,APR,4,12685
Avalon,2011,150362,True,MAY,5,10150
Avalon,2011,150362,True,JUN,6,14235
Avalon,2011,150362,True,JUL,7,12205
Avalon,2011,150362,True,AUG,8,10245
Avalon,2011,150362,True,SEP,9,10864
Avalon,2011,150362,True,OCT,10,13085
Avalon,2011,150362,True,NOV,11,11005
Avalon,2011,150362,True,DEC,12,9943
Back of the Yards ,2011,50848,False,JAN,1,5895
Back of the Yards ,2011,50848,False,FEB,2,6263
Back of the Yards ,2011,50848,False,MAR,3,8204
Back of the Yards ,2011,50848,False,APR,4,8504
Back of the Yards ,2011,50848,False,MAY,5,7475
Back of the Yards ,2011,50848,False,JUN,6,6597
Back of the Yards ,2011,50848,False,JUL,7,7910
Back of the Yards ,2011,50848,False,AUG,8,0
Back of the Yards ,2011,50848,False,SEP,9,0
Back of the Yards ,2011,50848,False,OCT,10,0
Back of the Yards ,2011,50848,False,NOV,11,0
Back of the Yards ,2011,50848,False,DEC,12,0
Beverly,2011,118949,True,JAN,1,9504
Beverly,2011,118949,True,FEB,2,7135
Beverly,2011,118949,True,MAR,3,10271
Beverly,2011,118949,True,APR,4,9508
Beverly,2011,118949,True,MAY,5,8815
Beverly,2011,118949,True,JUN,6,10869
Beverly,2011,118949,True,JUL,7,11346
Beverly,2011,118949,True,AUG,8,11310
Beverly,2011,118949,True,SEP,9,10350
Beverly,2011,118949,True,OCT,10,11098
Beverly,2011,118949,True,NOV,11,10121
Beverly,2011,118949,True,DEC,12,8622
Bezazian ,2011,186933,False,JAN,1,11848
Bezazian ,2011,186933,False,FEB,2,10814
Bezazian ,2011,186933,False,MAR,3,14679
Bezazian ,2011,186933,False,APR,4,15324
Bezazian ,2011,186933,False,MAY,5,14672
Bezazian ,2011,186933,False,JUN,6,17351
Bezazian ,2011,186933,False,JUL,7,16600
Bezazian ,2011,186933,False,AUG,8,19362
Bezazian ,2011,186933,False,SEP,9,17892
Bezazian ,2011,186933,False,OCT,10,17309
Bezazian ,2011,186933,False,NOV,11,16175
Bezazian ,2011,186933,False,DEC,12,14907
Blackstone ,2011,152597,False,JAN,1,11535
Blackstone ,2011,152597,False,FEB,2,9206
Blackstone ,2011,152597,False,MAR,3,13436
Blackstone ,2011,152597,False,APR,4,12622
Blackstone ,2011,152597,False,MAY,5,11417
Blackstone ,2011,152597,False,JUN,6,13877
Blackstone ,2011,152597,False,JUL,7,13343
Blackstone ,2011,152597,False,AUG,8,14054
Blackstone ,2011,152597,False,SEP,9,13241
Blackstone ,2011,152597,False,OCT,10,14234
Blackstone ,2011,152597,False,NOV,11,12876
Blackstone ,2011,152597,False,DEC,12,12756
Brainerd,2011,65991,True,JAN,1,4034
Brainerd,2011,65991,True,FEB,2,3214
Brainerd,2011,65991,True,MAR,3,4469
Brainerd,2011,65991,True,APR,4,5016
Brainerd,2011,65991,True,MAY,5,3714
Brainerd,2011,65991,True,JUN,6,5896
Brainerd,2011,65991,True,JUL,7,5571
Brainerd,2011,65991,True,AUG,8,5747
Brainerd,2011,65991,True,SEP,9,6284
Brainerd,2011,65991,True,OCT,10,10390
Brainerd,2011,65991,True,NOV,11,7022
Brainerd,2011,65991,True,DEC,12,4634
Brighton Park ,2011,103729,False,JAN,1,7380
Brighton Park ,2011,103729,False,FEB,2,6119
Brighton Park ,2011,103729,False,MAR,3,8691
Brighton Park ,2011,103729,False,APR,4,8799
Brighton Park ,2011,103729,False,MAY,5,7921
Brighton Park ,2011,103729,False,JUN,6,9801
Brighton Park ,2011,103729,False,JUL,7,9914
Brighton Park ,2011,103729,False,AUG,8,9607
Brighton Park ,2011,103729,False,SEP,9,8463
Brighton Park ,2011,103729,False,OCT,10,10136
Brighton Park ,2011,103729,False,NOV,11,8689
Brighton Park ,2011,103729,False,DEC,12,8209
Bucktown-Wicker Park ,2011,159729,False,JAN,1,12661
Bucktown-Wicker Park ,2011,159729,False,FEB,2,13314
Bucktown-Wicker Park ,2011,159729,False,MAR,3,14790
Bucktown-Wicker Park ,2011,159729,False,APR,4,13671
Bucktown-Wicker Park ,2011,159729,False,MAY,5,12321
Bucktown-Wicker Park ,2011,159729,False,JUN,6,14147
Bucktown-Wicker Park ,2011,159729,False,JUL,7,14049
Bucktown-Wicker Park ,2011,159729,False,AUG,8,14611
Bucktown-Wicker Park ,2011,159729,False,SEP,9,12990
Bucktown-Wicker Park ,2011,159729,False,OCT,10,13231
Bucktown-Wicker Park ,2011,159729,False,NOV,11,12611
Bucktown-Wicker Park ,2011,159729,False,DEC,12,11333
Budlong Woods,2011,186827,True,JAN,1,16769
Budlong Woods,2011,186827,True,FEB,2,11152
Budlong Woods,2011,186827,True,MAR,3,18561
Budlong Woods,2011,186827,True,APR,4,15723
Budlong Woods,2011,186827,True,MAY,5,14857
Budlong Woods,2011,186827,True,JUN,6,16925
Budlong Woods,2011,186827,True,JUL,7,15494
Budlong Woods,2011,186827,True,AUG,8,15175
Budlong Woods,2011,186827,True,SEP,9,15952
Budlong Woods,2011,186827,True,OCT,10,16414
Budlong Woods,2011,186827,True,NOV,11,15653
Budlong Woods,2011,186827,True,DEC,12,14152
Canaryville ,2011,57849,False,JAN,1,3810
Canaryville ,2011,57849,False,FEB,2,3447
Canaryville ,2011,57849,False,MAR,3,4936
Canaryville ,2011,57849,False,APR,4,4126
Canaryville ,2011,57849,False,MAY,5,4026
Canaryville ,2011,57849,False,JUN,6,6659
Canaryville ,2011,57849,False,JUL,7,5317
Canaryville ,2011,57849,False,AUG,8,6618
Canaryville ,2011,57849,False,SEP,9,3954
Canaryville ,2011,57849,False,OCT,10,6671
Canaryville ,2011,57849,False,NOV,11,4433
Canaryville ,2011,57849,False,DEC,12,3852
Chicago Bee,2011,67604,True,JAN,1,4819
Chicago Bee,2011,67604,True,FEB,2,6649
Chicago Bee,2011,67604,True,MAR,3,6058
Chicago Bee,2011,67604,True,APR,4,6095
Chicago Bee,2011,67604,True,MAY,5,6710
Chicago Bee,2011,67604,True,JUN,6,4677
Chicago Bee,2011,67604,True,JUL,7,4650
Chicago Bee,2011,67604,True,AUG,8,4815
Chicago Bee,2011,67604,True,SEP,9,5902
Chicago Bee,2011,67604,True,OCT,10,6200
Chicago Bee,2011,67604,True,NOV,11,5472
Chicago Bee,2011,67604,True,DEC,12,5557
Chicago Lawn  ,2011,105569,False,JAN,1,7553
Chicago Lawn  ,2011,105569,False,FEB,2,6993
Chicago Lawn  ,2011,105569,False,MAR,3,8428
Chicago Lawn  ,2011,105569,False,APR,4,9216
Chicago Lawn  ,2011,105569,False,MAY,5,8969
Chicago Lawn  ,2011,105569,False,JUN,6,10647
Chicago Lawn  ,2011,105569,False,JUL,7,9487
Chicago Lawn  ,2011,105569,False,AUG,8,9546
Chicago Lawn  ,2011,105569,False,SEP,9,9049
Chicago Lawn  ,2011,105569,False,OCT,10,10520
Chicago Lawn  ,2011,105569,False,NOV,11,7991
Chicago Lawn  ,2011,105569,False,DEC,12,7170
Chinatown ,2011,291717,False,JAN,1,22944
Chinatown ,2011,291717,False,FEB,2,19704
Chinatown ,2011,291717,False,MAR,3,26364
Chinatown ,2011,291717,False,APR,4,24990
Chinatown ,2011,291717,False,MAY,5,23609
Chinatown ,2011,291717,False,JUN,6,28856
Chinatown ,2011,291717,False,JUL,7,24657
Chinatown ,2011,291717,False,AUG,8,27737
Chinatown ,2011,291717,False,SEP,9,24229
Chinatown ,2011,291717,False,OCT,10,25560
Chinatown ,2011,291717,False,NOV,11,21781
Chinatown ,2011,291717,False,DEC,12,21286
Clearing,2011,109231,True,JAN,1,9167
Clearing,2011,109231,True,FEB,2,6684
Clearing,2011,109231,True,MAR,3,7878
Clearing,2011,109231,True,APR,4,8071
Clearing,2011,109231,True,MAY,5,13401
Clearing,2011,109231,True,JUN,6,9770
Clearing,2011,109231,True,JUL,7,9707
Clearing,2011,109231,True,AUG,8,9151
Clearing,2011,109231,True,SEP,9,8672
Clearing,2011,109231,True,OCT,10,9538
Clearing,2011,109231,True,NOV,11,8541
Clearing,2011,109231,True,DEC,12,8651
Coleman,2011,130345,True,JAN,1,12027
Coleman,2011,130345,True,FEB,2,13721
Coleman,2011,130345,True,MAR,3,13212
Coleman,2011,130345,True,APR,4,13014
Coleman,2011,130345,True,MAY,5,10805
Coleman,2011,130345,True,JUN,6,7085
Coleman,2011,130345,True,JUL,7,8764
Coleman,2011,130345,True,AUG,8,12610
Coleman,2011,130345,True,SEP,9,10360
Coleman,2011,130345,True,OCT,10,10002
Coleman,2011,130345,True,NOV,11,9661
Coleman,2011,130345,True,DEC,12,9084
"Daley, Richard J.-Bridgeport",2011,116812,False,JAN,1,9201
"Daley, Richard J.-Bridgeport",2011,116812,False,FEB,2,7703
"Daley, Richard J.-Bridgeport",2011,116812,False,MAR,3,10296
"Daley, Richard J.-Bridgeport",2011,116812,False,APR,4,10415
"Daley, Richard J.-Bridgeport",2011,116812,False,MAY,5,9008
"Daley, Richard J.-Bridgeport",2011,116812,False,JUN,6,10586
"Daley, Richard J.-Bridgeport",2011,116812,False,JUL,7,10412
"Daley, Richard J.-Bridgeport",2011,116812,False,AUG,8,10838
"Daley, Richard J.-Bridgeport",2011,116812,False,SEP,9,9883
"Daley, Richard J.-Bridgeport",2011,116812,False,OCT,10,10552
"Daley, Richard J.-Bridgeport",2011,116812,False,NOV,11,9066
"Daley, Richard J.-Bridgeport",2011,116812,False,DEC,12,8852
"Daley, Richard M.-W Humboldt",2011,82905,True,JAN,1,0
"Daley, Richard M.-W Humboldt",2011,82905,True,FEB,2,0
"Daley, Richard M.-W Humboldt",2011,82905,True,MAR,3,0
"Daley, Richard M.-W Humboldt",2011,82905,True,APR,4,0
"Daley, Richard M.-W Humboldt",2011,82905,True,MAY,5,0
"Daley, Richard M.-W Humboldt",2011,82905,True,JUN,6,0
"Daley, Richard M.-W Humboldt",2011,82905,True,JUL,7,12190
"Daley, Richard M.-W Humboldt",2011,82905,True,AUG,8,17321
"Daley, Richard M.-W Humboldt",2011,82905,True,SEP,9,14685
"Daley, Richard M.-W Humboldt",2011,82905,True,OCT,10,14468
"Daley, Richard M.-W Humboldt",2011,82905,True,NOV,11,12392
"Daley, Richard M.-W Humboldt",2011,82905,True,DEC,12,11849
Douglass  ,2011,108048,False,JAN,1,6820
Douglass  ,2011,108048,False,FEB,2,6608
Douglass  ,2011,108048,False,MAR,3,9290
Douglass  ,2011,108048,False,APR,4,7836
Douglass  ,2011,108048,False,MAY,5,7305
Douglass  ,2011,108048,False,JUN,6,10268
Douglass  ,2011,108048,False,JUL,7,10998
Douglass  ,2011,108048,False,AUG,8,12250
Douglass  ,2011,108048,False,SEP,9,10149
Douglass  ,2011,108048,False,OCT,10,10207
Douglass  ,2011,108048,False,NOV,11,8491
Douglass  ,2011,108048,False,DEC,12,7826
Dunning,2011,86439,True,JAN,1,0
Dunning,2011,86439,True,FEB,2,0
Dunning,2011,86439,True,MAR,3,0
Dunning,2011,86439,True,APR,4,0
Dunning,2011,86439,True,MAY,5,10520
Dunning,2011,86439,True,JUN,6,12313
Dunning,2011,86439,True,JUL,7,10299
Dunning,2011,86439,True,AUG,8,11385
Dunning,2011,86439,True,SEP,9,10391
Dunning,2011,86439,True,OCT,10,12565
Dunning,2011,86439,True,NOV,11,10084
Dunning,2011,86439,True,DEC,12,8882
Edgebrook ,2011,134395,False,JAN,1,9365
Edgebrook ,2011,134395,False,FEB,2,10215
Edgebrook ,2011,134395,False,MAR,3,14004
Edgebrook ,2011,134395,False,APR,4,10796
Edgebrook ,2011,134395,False,MAY,5,9547
Edgebrook ,2011,134395,False,JUN,6,12100
Edgebrook ,2011,134395,False,JUL,7,11841
Edgebrook ,2011,134395,False,AUG,8,11512
Edgebrook ,2011,134395,False,SEP,9,9830
Edgebrook ,2011,134395,False,OCT,10,16688
Edgebrook ,2011,134395,False,NOV,11,9262
Edgebrook ,2011,134395,False,DEC,12,9235
Edgewater  ,2011,87830,False,JAN,1,23806
Edgewater  ,2011,87830,False,FEB,2,15239
Edgewater  ,2011,87830,False,MAR,3,16790
Edgewater  ,2011,87830,False,APR,4,17021
Edgewater  ,2011,87830,False,MAY,5,14974
Edgewater  ,2011,87830,False,JUN,6,0
Edgewater  ,2011,87830,False,JUL,7,0
Edgewater  ,2011,87830,False,AUG,8,0
Edgewater  ,2011,87830,False,SEP,9,0
Edgewater  ,2011,87830,False,OCT,10,0
Edgewater  ,2011,87830,False,NOV,11,0
Edgewater  ,2011,87830,False,DEC,12,0
Gage Park ,2011,68561,False,JAN,1,4670
Gage Park ,2011,68561,False,FEB,2,3853
Gage Park ,2011,68561,False,MAR,3,5234
Gage Park ,2011,68561,False,APR,4,6514
Gage Park ,2011,68561,False,MAY,5,5179
Gage Park ,2011,68561,False,JUN,6,6273
Gage Park ,2011,68561,False,JUL,7,6255
Gage Park ,2011,68561,False,AUG,8,6151
Gage Park ,2011,68561,False,SEP,9,5845
Gage Park ,2011,68561,False,OCT,10,7866
Gage Park ,2011,68561,False,NOV,11,5772
Gage Park ,2011,68561,False,DEC,12,4949
Galewood-Mont Clare ,2011,7663,False,JAN,1,509
Galewood-Mont Clare ,2011,7663,False,FEB,2,442
Galewood-Mont Clare ,2011,7663,False,MAR,3,720
Galewood-Mont Clare ,2011,7663,False,APR,4,605
Galewood-Mont Clare ,2011,7663,False,MAY,5,602
Galewood-Mont Clare ,2011,7663,False,JUN,6,786
Galewood-Mont Clare ,2011,7663,False,JUL,7,1123
Galewood-Mont Clare ,2011,7663,False,AUG,8,974
Galewood-Mont Clare ,2011,7663,False,SEP,9,515
Galewood-Mont Clare ,2011,7663,False,OCT,10,527
Galewood-Mont Clare ,2011,7663,False,NOV,11,470
Galewood-Mont Clare ,2011,7663,False,DEC,12,390
Garfield Ridge,2011,95686,True,JAN,1,6312
Garfield Ridge,2011,95686,True,FEB,2,5805
Garfield Ridge,2011,95686,True,MAR,3,7848
Garfield Ridge,2011,95686,True,APR,4,7249
Garfield Ridge,2011,95686,True,MAY,5,6649
Garfield Ridge,2011,95686,True,JUN,6,10196
Garfield Ridge,2011,95686,True,JUL,7,9891
Garfield Ridge,2011,95686,True,AUG,8,8857
Garfield Ridge,2011,95686,True,SEP,9,7742
Garfield Ridge,2011,95686,True,OCT,10,9599
Garfield Ridge,2011,95686,True,NOV,11,8324
Garfield Ridge,2011,95686,True,DEC,12,7214
Greater Grand Crossing,2011,56370,True,JAN,1,0
Greater Grand Crossing,2011,56370,True,FEB,2,0
Greater Grand Crossing,2011,56370,True,MAR,3,0
Greater Grand Crossing,2011,56370,True,APR,4,0
Greater Grand Crossing,2011,56370,True,MAY,5,3790
Greater Grand Crossing,2011,56370,True,JUN,6,6388
Greater Grand Crossing,2011,56370,True,JUL,7,7626
Greater Grand Crossing,2011,56370,True,AUG,8,8833
Greater Grand Crossing,2011,56370,True,SEP,9,7276
Greater Grand Crossing,2011,56370,True,OCT,10,7348
Greater Grand Crossing,2011,56370,True,NOV,11,7781
Greater Grand Crossing,2011,56370,True,DEC,12,7328
Hall ,2011,87272,False,JAN,1,4752
Hall ,2011,87272,False,FEB,2,5835
Hall ,2011,87272,False,MAR,3,7505
Hall ,2011,87272,False,APR,4,7126
Hall ,2011,87272,False,MAY,5,6760
Hall ,2011,87272,False,JUN,6,8590
Hall ,2011,87272,False,JUL,7,8666
Hall ,2011,87272,False,AUG,8,8714
Hall ,2011,87272,False,SEP,9,8309
Hall ,2011,87272,False,OCT,10,8532
Hall ,2011,87272,False,NOV,11,6724
Hall ,2011,87272,False,DEC,12,5759
Harold Washington Library Center,2011,1705926,True,JAN,1,138119
Harold Washington Library Center,2011,1705926,True,FEB,2,120661
Harold Washington Library Center,2011,1705926,True,MAR,3,152872
Harold Washington Library Center,2011,1705926,True,APR,4,146950
Harold Washington Library Center,2011,1705926,True,MAY,5,140698
Harold Washington Library Center,2011,1705926,True,JUN,6,148548
Harold Washington Library Center,2011,1705926,True,JUL,7,144614
Harold Washington Library Center,2011,1705926,True,AUG,8,151534
Harold Washington Library Center,2011,1705926,True,SEP,9,145095
Harold Washington Library Center,2011,1705926,True,OCT,10,160329
Harold Washington Library Center,2011,1705926,True,NOV,11,134468
Harold Washington Library Center,2011,1705926,True,DEC,12,122038
Hegewisch,2011,62097,True,JAN,1,4310
Hegewisch,2011,62097,True,FEB,2,3456
Hegewisch,2011,62097,True,MAR,3,4650
Hegewisch,2011,62097,True,APR,4,4787
Hegewisch,2011,62097,True,MAY,5,4240
Hegewisch,2011,62097,True,JUN,6,5287
Hegewisch,2011,62097,True,JUL,7,6056
Hegewisch,2011,62097,True,AUG,8,6854
Hegewisch,2011,62097,True,SEP,9,6013
Hegewisch,2011,62097,True,OCT,10,5602
Hegewisch,2011,62097,True,NOV,11,5656
Hegewisch,2011,62097,True,DEC,12,5186
Humboldt Park,2011,131301,True,JAN,1,11229
Humboldt Park,2011,131301,True,FEB,2,8420
Humboldt Park,2011,131301,True,MAR,3,11589
Humboldt Park,2011,131301,True,APR,4,9468
Humboldt Park,2011,131301,True,MAY,5,9468
Humboldt Park,2011,131301,True,JUN,6,12177
Humboldt Park,2011,131301,True,JUL,7,10575
Humboldt Park,2011,131301,True,AUG,8,13318
Humboldt Park,2011,131301,True,SEP,9,11508
Humboldt Park,2011,131301,True,OCT,10,12307
Humboldt Park,2011,131301,True,NOV,11,11264
Humboldt Park,2011,131301,True,DEC,12,9978
Independence ,2011,103779,False,JAN,1,6700
Independence ,2011,103779,False,FEB,2,8685
Independence ,2011,103779,False,MAR,3,10670
Independence ,2011,103779,False,APR,4,9238
Independence ,2011,103779,False,MAY,5,7113
Independence ,2011,103779,False,JUN,6,9739
Independence ,2011,103779,False,JUL,7,10120
Independence ,2011,103779,False,AUG,8,9898
Independence ,2011,103779,False,SEP,9,8341
Independence ,2011,103779,False,OCT,10,9236
Independence ,2011,103779,False,NOV,11,7553
Independence ,2011,103779,False,DEC,12,6486
Jefferson Park ,2011,119567,False,JAN,1,8565
Jefferson Park ,2011,119567,False,FEB,2,7675
Jefferson Park ,2011,119567,False,MAR,3,10744
Jefferson Park ,2011,119567,False,APR,4,10334
Jefferson Park ,2011,119567,False,MAY,5,8505
Jefferson Park ,2011,119567,False,JUN,6,11638
Jefferson Park ,2011,119567,False,JUL,7,11325
Jefferson Park ,2011,119567,False,AUG,8,12407
Jefferson Park ,2011,119567,False,SEP,9,10048
Jefferson Park ,2011,119567,False,OCT,10,10177
Jefferson Park ,2011,119567,False,NOV,11,9515
Jefferson Park ,2011,119567,False,DEC,12,8634
Jeffery Manor,2011,83085,True,JAN,1,6210
Jeffery Manor,2011,83085,True,FEB,2,10999
Jeffery Manor,2011,83085,True,MAR,3,8181
Jeffery Manor,2011,83085,True,APR,4,6776
Jeffery Manor,2011,83085,True,MAY,5,6110
Jeffery Manor,2011,83085,True,JUN,6,6622
Jeffery Manor,2011,83085,True,JUL,7,5199
Jeffery Manor,2011,83085,True,AUG,8,6292
Jeffery Manor,2011,83085,True,SEP,9,6206
Jeffery Manor,2011,83085,True,OCT,10,6567
Jeffery Manor,2011,83085,True,NOV,11,6762
Jeffery Manor,2011,83085,True,DEC,12,7161
Kelly,2011,72739,True,JAN,1,6233
Kelly,2011,72739,True,FEB,2,4568
Kelly,2011,72739,True,MAR,3,5925
Kelly,2011,72739,True,APR,4,6049
Kelly,2011,72739,True,MAY,5,5498
Kelly,2011,72739,True,JUN,6,7451
Kelly,2011,72739,True,JUL,7,6338
Kelly,2011,72739,True,AUG,8,7296
Kelly,2011,72739,True,SEP,9,6945
Kelly,2011,72739,True,OCT,10,6664
Kelly,2011,72739,True,NOV,11,5095
Kelly,2011,72739,True,DEC,12,4677
King,2011,92526,False,JAN,1,6882
King,2011,92526,False,FEB,2,6228
King,2011,92526,False,MAR,3,7583
King,2011,92526,False,APR,4,6629
King,2011,92526,False,MAY,5,7973
King,2011,92526,False,JUN,6,8058
King,2011,92526,False,JUL,7,7506
King,2011,92526,False,AUG,8,8147
King,2011,92526,False,SEP,9,9237
King,2011,92526,False,OCT,10,9248
King,2011,92526,False,NOV,11,8257
King,2011,92526,False,DEC,12,6778
Legler ,2011,124801,False,JAN,1,16568
Legler ,2011,124801,False,FEB,2,14329
Legler ,2011,124801,False,MAR,3,14456
Legler ,2011,124801,False,APR,4,15012
Legler ,2011,124801,False,MAY,5,8135
Legler ,2011,124801,False,JUN,6,8559
Legler ,2011,124801,False,JUL,7,7575
Legler ,2011,124801,False,AUG,8,2918
Legler ,2011,124801,False,SEP,9,11390
Legler ,2011,124801,False,OCT,10,8488
Legler ,2011,124801,False,NOV,11,8196
Legler ,2011,124801,False,DEC,12,9175
Lincoln Belmont,2011,173315,True,JAN,1,12657
Lincoln Belmont,2011,173315,True,FEB,2,10924
Lincoln Belmont,2011,173315,True,MAR,3,15544
Lincoln Belmont,2011,173315,True,APR,4,14984
Lincoln Belmont,2011,173315,True,MAY,5,13257
Lincoln Belmont,2011,173315,True,JUN,6,17528
Lincoln Belmont,2011,173315,True,JUL,7,16132
Lincoln Belmont,2011,173315,True,AUG,8,14591
Lincoln Belmont,2011,173315,True,SEP,9,14947
Lincoln Belmont,2011,173315,True,OCT,10,15093
Lincoln Belmont,2011,173315,True,NOV,11,14263
Lincoln Belmont,2011,173315,True,DEC,12,13395
Lincoln Park ,2011,163021,False,JAN,1,15002
Lincoln Park ,2011,163021,False,FEB,2,12773
Lincoln Park ,2011,163021,False,MAR,3,17094
Lincoln Park ,2011,163021,False,APR,4,14185
Lincoln Park ,2011,163021,False,MAY,5,11121
Lincoln Park ,2011,163021,False,JUN,6,13241
Lincoln Park ,2011,163021,False,JUL,7,18003
Lincoln Park ,2011,163021,False,AUG,8,12597
Lincoln Park ,2011,163021,False,SEP,9,12522
Lincoln Park ,2011,163021,False,OCT,10,12621
Lincoln Park ,2011,163021,False,NOV,11,12974
Lincoln Park ,2011,163021,False,DEC,12,10888
Little Village,2011,50951,True,JAN,1,0
Little Village,2011,50951,True,FEB,2,0
Little Village,2011,50951,True,MAR,3,0
Little Village,2011,50951,True,APR,4,0
Little Village,2011,50951,True,MAY,5,0
Little Village,2011,50951,True,JUN,6,0
Little Village,2011,50951,True,JUL,7,0
Little Village,2011,50951,True,AUG,8,0
Little Village,2011,50951,True,SEP,9,0
Little Village,2011,50951,True,OCT,10,18717
Little Village,2011,50951,True,NOV,11,17780
Little Village,2011,50951,True,DEC,12,14454
Logan Square,2011,185644,True,JAN,1,15241
Logan Square,2011,185644,True,FEB,2,12627
Logan Square,2011,185644,True,MAR,3,16454
Logan Square,2011,185644,True,APR,4,16296
Logan Square,2011,185644,True,MAY,5,13757
Logan Square,2011,185644,True,JUN,6,16892
Logan Square,2011,185644,True,JUL,7,15478
Logan Square,2011,185644,True,AUG,8,17399
Logan Square,2011,185644,True,SEP,9,16108
Logan Square,2011,185644,True,OCT,10,16203
Logan Square,2011,185644,True,NOV,11,15226
Logan Square,2011,185644,True,DEC,12,13963
Lozano,2011,168337,False,JAN,1,13814
Lozano,2011,168337,False,FEB,2,8367
Lozano,2011,168337,False,MAR,3,13882
Lozano,2011,168337,False,APR,4,15377
Lozano,2011,168337,False,MAY,5,14540
Lozano,2011,168337,False,JUN,6,14164
Lozano,2011,168337,False,JUL,7,13670
Lozano,2011,168337,False,AUG,8,14606
Lozano,2011,168337,False,SEP,9,14544
Lozano,2011,168337,False,OCT,10,16115
Lozano,2011,168337,False,NOV,11,15621
Lozano,2011,168337,False,DEC,12,13637
Manning,2011,113867,True,JAN,1,10604
Manning,2011,113867,True,FEB,2,7919
Manning,2011,113867,True,MAR,3,10974
Manning,2011,113867,True,APR,4,9619
Manning,2011,113867,True,MAY,5,8955
Manning,2011,113867,True,JUN,6,10640
Manning,2011,113867,True,JUL,7,9753
Manning,2011,113867,True,AUG,8,10667
Manning,2011,113867,True,SEP,9,8559
Manning,2011,113867,True,OCT,10,9036
Manning,2011,113867,True,NOV,11,8862
Manning,2011,113867,True,DEC,12,8279
Mayfair  ,2011,73002,False,JAN,1,5360
Mayfair  ,2011,73002,False,FEB,2,4602
Mayfair  ,2011,73002,False,MAR,3,6156
Mayfair  ,2011,73002,False,APR,4,6093
Mayfair  ,2011,73002,False,MAY,5,5151
Mayfair  ,2011,73002,False,JUN,6,6714
Mayfair  ,2011,73002,False,JUL,7,8354
Mayfair  ,2011,73002,False,AUG,8,7284
Mayfair  ,2011,73002,False,SEP,9,6164
Mayfair  ,2011,73002,False,OCT,10,6173
Mayfair  ,2011,73002,False,NOV,11,5674
